SRR1554534,SRR1554535,SRR1554536,SRR1554537,SRR1554538,SRR1554539,SRR1554541,SRR1554556,SRR1554561,SRR1554566,SRR1554567,SRR1554568,geneID
3,1,0,0,3,1,0,4,2,0,1,0,AC003682.17
0,0,0,0,0,0,1,0,0,0,0,0,AC003958.1
0,0,0,0,0,0,0,1,0,0,0,0,AC003958.6
3.39654,2.1521,0,0,2.55489,4.02222,0,6.05051,1.05376,1,1.45484,1.83193,AC003973.1
0,0,0,0,0,0,0,0,0,0,0,0,AC003976.1
0,0,0,1,1,1,0,0,0,0,0,1,AC003989.3
0,1,0,0,0,1,0,0,0,0,0,0,AC003989.4
0,0,0,3,1,0,0,0,0,0,0,0,AC004004.2
0,0,0,1,5,0,1,0,0,0,1,0,AC004006.2
0,0,0,0,0,0,0,0,0,1.00055,0,0,AC004014.4
0,3.0042,2,2,4,0,2,1,1,2.00169,2.45877,3.92303,AC004019.10
0,0,0,0,0,0,0,0,0,0,0,0,AC004022.7
0,0,0,0,0,0,0,0,0,0,0,0,AC004022.8
771.627,1324.71,1004.12,6925.97617,5626.07201,626.81,5695.47527,1393.02,809.744,1109.81,3599.87461,4016.38,AC004057.1
0,0,0,0,0,0,0,0,0,0,0,0,AC004062.2
0,0,0,3.00876,1.00311,0,1,0,1,0,0,0,AC004066.2
0,0,0,0,0,0,0,0,1,0,0,0,AC004069.1
0,0,0,0,0,0,0,0,0,0,0,0,AC004074.4
14.0119,21.2036,7.6566,75.085,106.631,13.7199,90.5981,30.0456,21.9013,65.6833,87.4321,68.6738,AC004076.7
11.068735,8.66308,4.13589,22.7204,20.62019,12.31333,11.27798,10.5875,8.77369,22.38098,21.85947,4.01641,AC004076.9
1,0,0,1,0,0,1,1,0,0,1,1,AC004112.5
0,0,1,0,1,1,4,1,0,2,2,2,AC004112.7
0,0,0,0,0,0,0,0,0,0,0,0,AC004129.7
0,0,0,0,0,0,0,0,0,0,0,0,AC004129.9
0,1.75599,0,17.7837,6.29858,0,7.16956,5.89417,4.2444,24.1868,41.7261,35.1784,AC004158.1
0,0,0,0,0,0,0,0,0,0,0,0,AC004159.1
46.646,42.8245,7.94533,31.2796,38.7793,21.6481,31.5449,30.9078,42.8295,31.2384,24.5311,27.6269,AC004166.6
0,1.01165,0,1.41012,20.0449,0,0,0.5,0,19.8645,56.8943,58.2359,AC004231.7
73.033,114.07579,26,414.07801,541.2845,104.017737471,215.10773,98.00903,88.91386,775.00016,529.00603,484.13688,AC004381.6
16,14,1,42,75,24,67,24,33,44,33,38,AC004383.3
0,0,0,0,0,0,0,0,0,0,0,0,AC004386.3
0,0,0,1,1,0,0,1,0,0,0,0,AC004386.4
0,0,0,1.00062,0,1.00082,0,0,0,1.00192,0,0,AC004453.8
0,0,0,3,0,1,3,2,1,2,1,4,AC004461.4
1,1,0,1,3,0,1,0,0,0,0,3,AC004692.5
23.0466,42.0114,13.8974,54.4816,49.5219,33.1523,13.6715,60.0689,64.6863,48.1432,38.7834,26.7173,AC004754.3
35.908,28.6692,11.7942,82.1574,131.665,22.9378,103.273,55.08,33.6791,81.0348,86.6189,90.8017,AC004813.1
1.98262,2.29641,0.690435,9.97353,10.4189,3.42194,10.4286,3.40591,3.23903,4.52568,7.48632,4.97671,AC004824.2
1.98262,2.29641,0.690435,9.97353,10.4189,3.42194,10.4286,3.40591,3.23903,4.52568,7.48632,4.97671,AC004824.3
0,4.84254,2,0,0,3.51518,0,0,0,0,0,0,AC004837.3
